x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-31.6327,-17.3469,4,400000,41,0.0001025
-31.6327,-17.3469,5,400000,4,1e-05
-31.6327,-15.3061,0,400000,6,1.5e-05
-31.6327,-15.3061,1,400000,3,7.5e-06
-31.6327,-15.3061,2,400000,6,1.5e-05
-31.6327,-15.3061,3,400000,58,0.000145
-31.6327,-15.3061,4,400000,41,0.0001025
-31.6327,-15.3061,5,400000,14,3.5e-05
-31.6327,-13.2653,0,400000,19,4.75e-05
-31.6327,-13.2653,1,400000,4,1e-05
-31.6327,-13.2653,2,400000,7,1.75e-05
-31.6327,-13.2653,3,400000,65,0.0001625
-31.6327,-13.2653,4,400000,48,0.00012
-31.6327,-13.2653,5,400000,8,2e-05
-31.6327,-11.2245,0,400000,3,7.5e-06
-31.6327,-11.2245,1,400000,8,2e-05
-31.6327,-11.2245,2,400000,12,3e-05
-31.6327,-11.2245,3,400000,65,0.0001625
-31.6327,-11.2245,4,400000,29,7.25e-05
-31.6327,-11.2245,5,400000,5,1.25e-05
-31.6327,-9.18367,0,400000,14,3.5e-05
-31.6327,-9.18367,1,400000,1,2.5e-06
-31.6327,-9.18367,2,400000,12,3e-05
-31.6327,-9.18367,3,400000,84,0.00021
-31.6327,-9.18367,4,400000,46,0.000115
-31.6327,-9.18367,5,400000,6,1.5e-05
-31.6327,-7.14286,0,400000,6,1.5e-05
-31.6327,-7.14286,1,400000,4,1e-05
-31.6327,-7.14286,2,400000,13,3.25e-05
-31.6327,-7.14286,3,400000,94,0.000235
-31.6327,-7.14286,4,400000,30,7.5e-05
-31.6327,-7.14286,5,400000,12,3e-05
-31.6327,-5.10204,0,400000,5,1.25e-05
-31.6327,-5.10204,1,400000,5,1.25e-05
-31.6327,-5.10204,2,400000,11,2.75e-05
-31.6327,-5.10204,3,400000,122,0.000305
-31.6327,-5.10204,4,400000,27,6.75e-05
-31.6327,-5.10204,5,400000,11,2.75e-05
-31.6327,-3.06122,0,400000,5,1.25e-05
-31.6327,-3.06122,1,400000,8,2e-05
-31.6327,-3.06122,2,400000,18,4.5e-05
-31.6327,-3.06122,3,400000,154,0.000385
-31.6327,-3.06122,4,400000,27,6.75e-05
-31.6327,-3.06122,5,400000,10,2.5e-05
