x,y,det_0,det_1,det_2,det_3,det_4,det_5,RD_1_4,RD_2_5,RD_0_3
-47.9592,-5.10204,2.5e-06,3.25e-05,3e-05,0.0001075,3.75e-05,1.5e-05,-0.14285714285306123,0.666666666637037,-1.909090909056198
-47.9592,-3.06122,2.25e-05,1.25e-05,2e-05,8.25e-05,3.75e-05,1.75e-05,-0.99999999996,0.13333333332622238,-1.142857142835374
-47.9592,-1.02041,2.25e-05,1e-05,2e-05,7e-05,3.75e-05,7.5e-06,-1.1578947367933519,0.9090909090247935,-1.0270270270048207
-47.9592,1.02041,2e-05,1.75e-05,2.5e-05,0.0001,3e-05,1.5e-05,-0.5263157894515236,0.499999999975,-1.3333333333111113
-47.9592,3.06122,1.5e-05,1.75e-05,6.5e-05,0.00011,3.5e-05,1.25e-05,-0.6666666666412698,1.3548387096424557,-1.5199999999756801
-47.9592,5.10204,5e-06,1e-05,4.25e-05,8.25e-05,2e-05,2.5e-05,-0.6666666666222222,0.518518518503155,-1.7714285713880817
-47.9592,7.14286,7.5e-06,1.5e-05,2e-05,7.5e-05,1.25e-05,5e-06,0.18181818180495865,1.199999999904,-1.6363636363239666
-47.9592,9.18367,2.5e-06,1.5e-05,6e-05,7.5e-05,1.75e-05,2.5e-06,-0.1538461538366863,1.83999999994112,-1.8709677418872004
-47.9592,11.2245,2.25e-05,1e-05,5.75e-05,6.25e-05,2e-05,7.5e-06,-0.6666666666222222,1.538461538414201,-0.9411764705660898
-47.9592,13.2653,1.5e-05,1.5e-05,5.75e-05,3.25e-05,2e-05,5e-06,-0.2857142856979592,1.67999999994624,-0.736842105232133
-47.9592,15.3061,3.75e-05,1e-05,4.5e-05,6.75e-05,1.25e-05,3e-05,-0.2222222222024691,0.39999999998933333,-0.5714285714176871
-47.9592,17.3469,1e-05,3e-05,2e-05,9.5e-05,2e-05,0.0,0.39999999998399993,1.9999999998,-1.6190476190167802
-47.9592,19.3878,2.25e-05,7.5e-06,5.75e-05,8.75e-05,1e-05,0.0,-0.2857142856816327,1.9999999999304348,-1.181818181796694
-47.9592,21.4286,7.5e-06,1e-05,5.25e-05,8.5e-05,2.5e-06,0.0,1.199999999808,1.9999999999238094,-1.6756756756394446
-47.9592,23.4694,1.25e-05,5e-06,2.5e-05,8.25e-05,1e-05,1.25e-05,-0.6666666665777777,0.6666666666311111,-1.4736842104952907
-47.9592,25.5102,1.5e-05,2.5e-06,3.75e-05,3.5e-05,2.5e-06,5e-06,0.0,1.52941176463391,-0.799999999968
-47.9592,27.551,0.0,1e-05,3.25e-05,3.5e-05,2e-05,7.5e-06,-0.6666666666222222,1.2499999999375,-1.9999999998857143
-47.9592,29.5918,1.5e-05,1.25e-05,5e-05,4.25e-05,7.5e-06,2.5e-06,0.49999999995,1.8095238094548753,-0.9565217390971645
-47.9592,31.6327,1.5e-05,5e-06,3.25e-05,3e-05,7.5e-06,7.5e-06,-0.39999999993599994,1.2499999999375,-0.666666666637037
-47.9592,33.6735,1e-05,5e-06,3.75e-05,6.25e-05,1.5e-05,2.5e-06,-0.9999999998999998,1.7499999999125,-1.448275862029013
-47.9592,35.7143,1.75e-05,1.25e-05,3.5e-05,3e-05,0.0,7.5e-06,1.99999999968,1.2941176469979239,-0.5263157894515236
-47.9592,37.7551,0.0,1e-05,5.75e-05,1.75e-05,5e-06,2.5e-06,0.6666666665777777,1.8333333332722221,-1.9999999997714284
-47.9592,39.7959,7.5e-06,2.5e-06,4e-05,4.5e-05,5e-06,2e-05,-0.6666666664888888,0.6666666666444444,-1.4285714285170068
-47.9592,41.8367,1.75e-05,5e-06,3.5e-05,4.5e-05,2e-05,1.25e-05,-1.199999999904,0.9473684210127423,-0.8799999999718401
-47.9592,43.8776,7.5e-06,1.25e-05,5e-05,4e-05,2.5e-06,1.25e-05,1.3333333331555555,1.1999999999616,-1.3684210525739613
-47.9592,45.9184,1e-05,5e-06,6.25e-05,2e-05,0.0,5e-06,1.9999999992000002,1.7037037036532237,-0.6666666666222222
-47.9592,47.9592,5e-06,2.25e-05,2.5e-05,4.25e-05,0.0,2.5e-06,1.9999999998222222,1.636363636244628,-1.5789473683545707
-47.9592,50.0,7.5e-06,1.75e-05,6.25e-05,2.25e-05,7.5e-06,0.0,0.799999999936,1.999999999936,-0.9999999999333334
-45.9184,-50.0,2.5e-06,1e-05,5e-06,1.5e-05,3.75e-05,2e-05,-1.1578947367933519,-1.199999999904,-1.4285714284081632
-45.9184,-47.9592,5e-06,2.25e-05,1.75e-05,2.25e-05,4.25e-05,1.5e-05,-0.6153846153656805,0.1538461538366863,-1.2727272726347107
-45.9184,-45.9184,0.0,1e-05,5e-06,2.75e-05,2.75e-05,2.25e-05,-0.9333333332835554,-1.2727272726347107,-1.9999999998545455
-45.9184,-43.8776,5e-06,7.5e-06,2.5e-06,3.75e-05,4.5e-05,1e-05,-1.4285714285170068,-1.199999999808,-1.52941176463391
-45.9184,-41.8367,1e-05,0.0,0.0,2.25e-05,6.75e-05,1.25e-05,-1.9999999999407407,-1.99999999968,-0.7692307691834319
-45.9184,-39.7959,5e-06,2.25e-05,7.5e-06,2.5e-05,3.25e-05,2.5e-06,-0.3636363636231404,0.9999999997999998,-1.3333333332444446
-45.9184,-37.7551,1e-05,1.5e-05,1e-05,1.5e-05,3.5e-05,1.25e-05,-0.799999999968,-0.2222222222024691,-0.39999999996799995
-45.9184,-35.7143,5e-06,1.25e-05,2.5e-06,5e-05,8.5e-05,1.5e-05,-1.4871794871489807,-1.4285714284081632,-1.6363636363041323
-45.9184,-33.6735,1e-05,5e-06,1.75e-05,4e-05,3e-05,1e-05,-1.428571428489796,0.5454545454148759,-1.1999999999520001
-45.9184,-31.6327,2e-05,1.5e-05,2.5e-06,3.5e-05,3e-05,7.5e-06,-0.666666666637037,-0.9999999997999998,-0.5454545454347106
-45.9184,-29.5918,5e-06,1.25e-05,1e-05,5.5e-05,4.25e-05,1e-05,-1.0909090908694217,0.0,-1.6666666666111112
-45.9184,-27.551,7.5e-06,1.5e-05,1.75e-05,4.5e-05,8e-05,1.75e-05,-1.3684210526027702,0.0,-1.4285714285170068
-45.9184,-25.5102,1.5e-05,1.25e-05,3.25e-05,6.5e-05,5.75e-05,3e-05,-1.285714285677551,0.07999999999743988,-1.2499999999687499
-45.9184,-23.4694,5e-06,1e-05,2.5e-06,3.25e-05,7.75e-05,1.5e-05,-1.5428571428218776,-1.4285714284081632,-1.4666666665884445
-45.9184,-21.4286,2.75e-05,7.5e-06,1.25e-05,6.5e-05,5e-05,2.5e-06,-1.4782608695137998,1.3333333331555555,-0.8108108107932795
-45.9184,-19.3878,2e-05,1e-05,1e-05,5e-05,4.75e-05,1.25e-05,-1.304347826041588,-0.2222222222024691,-0.8571428571183672
-45.9184,-17.3469,2.5e-06,1.5e-05,1e-05,5.5e-05,5.25e-05,2.5e-06,-1.1111111110781893,1.199999999808,-1.8260869564582232
-45.9184,-15.3061,1e-05,1.5e-05,2.5e-05,8e-05,3.25e-05,2.75e-05,-0.736842105232133,-0.09523809523446711,-1.5555555555209877
-45.9184,-13.2653,1.25e-05,1e-05,2.25e-05,6.25e-05,2.75e-05,2.5e-06,-0.9333333332835554,1.599999999872,-1.3333333332977777
-45.9184,-11.2245,2e-05,1.5e-05,2.25e-05,9.25e-05,3e-05,2.5e-06,-0.666666666637037,1.599999999872,-1.2888888888659753
-45.9184,-9.18367,1.75e-05,1e-05,1.5e-05,7.75e-05,6.5e-05,3.25e-05,-1.4666666666275556,-0.736842105232133,-1.2631578947102493
-45.9184,-7.14286,1.25e-05,3e-05,3.25e-05,9.75e-05,3e-05,1e-05,0.0,1.0588235293619377,-1.5454545454264461
-45.9184,-5.10204,0.0,1.5e-05,2e-05,7.25e-05,3e-05,1.25e-05,-0.666666666637037,0.4615384615100592,-1.9999999999448275
-45.9184,-3.06122,4e-05,1.75e-05,1.75e-05,6e-05,3.75e-05,1.5e-05,-0.727272727246281,0.1538461538366863,-0.3999999999919999
-45.9184,-1.02041,5e-06,5e-06,2.5e-05,0.00012,1.75e-05,5e-06,-1.1111111110123457,1.3333333332444446,-1.83999999997056
-45.9184,1.02041,1.25e-05,7.5e-06,2.75e-05,8.75e-05,2e-05,2e-05,-0.9090909090247935,0.3157894736709141,-1.4999999999699998
-45.9184,3.06122,1.5e-05,5e-06,5.75e-05,7e-05,2.75e-05,1.5e-05,-1.3846153845301774,1.1724137930711058,-1.2941176470283737
-45.9184,5.10204,2e-05,1.5e-05,6.25e-05,0.000105,4.25e-05,5e-06,-0.9565217390971645,1.7037037036532237,-1.3599999999782402
-45.9184,7.14286,3.75e-05,1.25e-05,2.5e-05,7.5e-05,1.75e-05,0.0,-0.333333333311111,1.99999999984,-0.6666666666548148
-45.9184,9.18367,1.25e-05,7.5e-06,3.75e-05,9e-05,2.5e-05,1.75e-05,-1.0769230768568048,0.727272727246281,-1.5121951219217131
-45.9184,11.2245,3e-05,7.5e-06,6.5e-05,5.25e-05,3e-05,7.5e-06,-1.199999999936,1.5862068965079665,-0.5454545454413223
-45.9184,13.2653,1.5e-05,1.25e-05,9e-05,7.5e-05,1.75e-05,5e-06,-0.333333333311111,1.7894736841728531,-1.3333333333037036
-45.9184,15.3061,1e-05,7.5e-06,4e-05,7.75e-05,2.75e-05,2e-05,-1.1428571427918366,0.6666666666444444,-1.5428571428218776
-45.9184,17.3469,2.5e-06,2.5e-05,8e-05,5.75e-05,1.25e-05,7.5e-06,0.6666666666311111,1.6571428571049793,-1.8333333332722221
-45.9184,19.3878,1.5e-05,1.25e-05,4.25e-05,7e-05,2.25e-05,0.0,-0.5714285713959183,1.9999999999058824,-1.2941176470283737
-45.9184,21.4286,2.25e-05,1.75e-05,5.5e-05,9e-05,5e-06,2.5e-06,1.1111111110123457,1.8260869564582232,-1.1999999999786666
-45.9184,23.4694,2e-05,7.5e-06,4e-05,5.5e-05,5e-06,2.5e-06,0.39999999993599994,1.7647058822698962,-0.9333333333084443
-45.9184,25.5102,1e-05,5e-06,6e-05,6.75e-05,2.5e-06,5e-06,0.6666666664888888,1.692307692255621,-1.4838709677036421
-45.9184,27.551,5e-06,0.0,7.5e-05,5.75e-05,0.0,5e-06,0.0,1.7499999999562499,-1.67999999994624
-45.9184,29.5918,2.5e-06,1.5e-05,5.5e-05,7.5e-05,0.0,7.5e-06,1.9999999997333333,1.51999999995136,-1.8709677418872004
-45.9184,31.6327,0.0,7.5e-06,5e-05,3.25e-05,1.75e-05,7.5e-06,-0.799999999936,1.4782608695137998,-1.9999999998769231
-45.9184,33.6735,0.0,2.5e-05,6.5e-05,3.75e-05,2.5e-06,1.5e-05,1.636363636244628,1.2499999999687499,-1.9999999998933333
-45.9184,35.7143,0.0,2.25e-05,9.5e-05,4e-05,1.5e-05,7.5e-06,0.3999999999786667,1.707317073137418,-1.9999999999
-45.9184,37.7551,0.0,2.75e-05,8e-05,3.75e-05,1e-05,1.5e-05,0.9333333332835554,1.3684210526027702,-1.9999999998933333
-45.9184,39.7959,0.0,1.5e-05,4.75e-05,2.75e-05,1e-05,5e-06,0.39999999996799995,1.619047618985941,-1.9999999998545455
-45.9184,41.8367,0.0,1e-05,1.75e-05,3e-05,1e-05,0.0,0.0,1.9999999997714284,-1.9999999998666667
-45.9184,43.8776,2e-05,2e-05,2e-05,3e-05,2.5e-06,2.5e-06,1.555555555417284,1.555555555417284,-0.39999999998399993
-45.9184,45.9184,7.5e-06,2e-05,2.75e-05,2.75e-05,0.0,5e-06,1.9999999998,1.3846153845301774,-1.1428571427918366
-45.9184,47.9592,5e-06,1.5e-05,2.75e-05,3e-05,2.25e-05,1e-05,-0.3999999999786667,0.9333333332835554,-1.428571428489796
-45.9184,50.0,2.5e-06,7.5e-06,3.75e-05,3.5e-05,0.0,1e-05,1.9999999994666666,1.1578947367933519,-1.733333333240889
-43.8776,-50.0,5e-06,5e-06,1e-05,4e-05,3.5e-05,1.75e-05,-1.499999999925,-0.5454545454148759,-1.5555555554864198
-43.8776,-47.9592,0.0,1e-05,0.0,4e-05,6.5e-05,3.5e-05,-1.4666666666275556,-1.9999999998857143,-1.9999999999
-43.8776,-45.9184,1e-05,2.5e-06,5e-06,2.75e-05,3.25e-05,2.25e-05,-1.714285714187755,-1.2727272726347107,-0.9333333332835554
-43.8776,-43.8776,0.0,5e-06,5e-06,2.25e-05,4.25e-05,1e-05,-1.5789473683545707,-0.6666666665777777,-1.9999999998222222
-43.8776,-41.8367,2e-05,2.5e-06,0.0,2.5e-05,4.25e-05,2e-05,-1.7777777776987655,-1.9999999998,-0.22222222221234564
-43.8776,-39.7959,1e-05,7.5e-06,0.0,3.75e-05,6.5e-05,1e-05,-1.5862068965079665,-1.9999999996,-1.1578947367933519
-43.8776,-37.7551,2.5e-06,2.5e-06,2.5e-06,4.5e-05,5e-05,1e-05,-1.8095238094548753,-1.199999999808,-1.7894736841351802
-43.8776,-35.7143,2.5e-06,5e-06,2.5e-06,4e-05,5e-05,2.5e-05,-1.6363636363041323,-1.636363636244628,-1.7647058822698962
-43.8776,-33.6735,1.25e-05,1e-05,1e-05,3.25e-05,5.25e-05,1.25e-05,-1.35999999995648,-0.2222222222024691,-0.8888888888493827
-43.8776,-31.6327,1.5e-05,2.25e-05,7.5e-06,6.75e-05,5.5e-05,1.5e-05,-0.8387096773977109,-0.6666666666074074,-1.2727272726964187
-43.8776,-29.5918,7.5e-06,2.5e-05,0.0,4.75e-05,0.0001,1.25e-05,-1.1999999999808,-1.99999999968,-1.454545454492562
-43.8776,-27.551,1.75e-05,1.25e-05,1.5e-05,2.75e-05,4.25e-05,7.5e-06,-1.0909090908694217,0.6666666666074074,-0.4444444444246915
-43.8776,-25.5102,1.25e-05,5e-06,0.0,8e-05,4.25e-05,3.75e-05,-1.5789473683545707,-1.9999999998933333,-1.4594594594279033
-43.8776,-23.4694,2.25e-05,1.5e-05,5e-06,5.25e-05,6e-05,7.5e-06,-1.199999999968,-0.39999999993599994,-0.7999999999786666
-43.8776,-21.4286,3.75e-05,1.25e-05,1.75e-05,5.75e-05,0.000115,5e-06,-1.6078431372296806,1.1111111110123457,-0.42105263157008316
