x,y,roiCounts,normalizedCounts,flux,normalizedFlux,nPrimary
-39.7959,-31.6327,628,0.00628,887,0.00887,600000
-39.7959,-29.5918,516,0.00516,847,0.00847,600000
-39.7959,-27.551,628,0.00628,943,0.009430000000000001,600000
-39.7959,-25.5102,551,0.00551,912,0.00912,600000
-39.7959,-23.4694,497,0.00497,875,0.00875,600000
-39.7959,-21.4286,491,0.0049099999999999994,878,0.00878,600000
-39.7959,-19.3878,505,0.00505,859,0.00859,600000
-39.7959,-17.3469,493,0.00493,850,0.0085,600000
-39.7959,-15.3061,587,0.00587,926,0.009260000000000001,600000
-39.7959,-13.2653,557,0.00557,855,0.00855,600000
-39.7959,-11.2245,533,0.00533,931,0.00931,600000
-39.7959,-9.18367,597,0.00597,949,0.00949,600000
-39.7959,-7.14286,578,0.00578,914,0.009139999999999999,600000
-39.7959,-5.10204,572,0.00572,910,0.0091,600000
-39.7959,-3.06122,563,0.0056300000000000005,915,0.00915,600000
-39.7959,-1.02041,516,0.00516,927,0.00927,600000
-39.7959,1.02041,524,0.00524,901,0.00901,600000
-39.7959,3.06122,554,0.00554,829,0.00829,600000
-39.7959,5.10204,544,0.0054399999999999995,880,0.0088,600000
-39.7959,7.14286,525,0.00525,839,0.00839,600000
-39.7959,9.18367,513,0.00513,820,0.0082,600000
-39.7959,11.2245,473,0.00473,857,0.00857,600000
-39.7959,13.2653,538,0.00538,894,0.00894,600000
-39.7959,15.3061,529,0.00529,883,0.00883,600000
-39.7959,17.3469,468,0.00468,826,0.00826,600000
-39.7959,19.3878,487,0.00487,881,0.00881,600000
-39.7959,21.4286,557,0.00557,834,0.00834,600000
-39.7959,23.4694,564,0.00564,827,0.00827,600000
-39.7959,25.5102,527,0.00527,851,0.00851,600000
-39.7959,27.551,536,0.00536,915,0.00915,600000
-39.7959,29.5918,525,0.00525,890,0.0089,600000
-39.7959,31.6327,570,0.0057,894,0.00894,600000
-39.7959,33.6735,508,0.00508,849,0.008490000000000001,600000
-39.7959,35.7143,545,0.00545,900,0.009,600000
-39.7959,37.7551,497,0.0049700000000000005,842,0.00842,600000
-39.7959,39.7959,512,0.0051199999999999996,887,0.00887,600000
-39.7959,41.8367,530,0.0053,855,0.00855,600000
-39.7959,43.8776,554,0.00554,849,0.008490000000000001,600000
-39.7959,45.9184,556,0.00556,823,0.008230000000000001,600000
-39.7959,47.9592,587,0.00587,918,0.00918,600000
-39.7959,50.0,584,0.00584,924,0.00924,600000
-37.7551,-50.0,521,0.00521,878,0.00878,600000
-37.7551,-47.9592,633,0.0063300000000000006,964,0.009640000000000001,600000
-37.7551,-45.9184,515,0.00515,906,0.00906,600000
-37.7551,-43.8776,546,0.00546,896,0.00896,600000
-37.7551,-41.8367,509,0.00509,920,0.0092,600000
-37.7551,-39.7959,558,0.00558,855,0.00855,600000
-37.7551,-37.7551,529,0.00529,804,0.00804,600000
-37.7551,-35.7143,511,0.00511,816,0.00816,600000
-37.7551,-33.6735,443,0.00443,863,0.00863,600000
-37.7551,-31.6327,534,0.00534,813,0.00813,600000
-37.7551,-29.5918,502,0.00502,855,0.00855,600000
-37.7551,-27.551,560,0.0056,947,0.00947,600000
-37.7551,-25.5102,600,0.006,900,0.009000000000000001,600000
-37.7551,-23.4694,549,0.00549,835,0.00835,600000
-37.7551,-21.4286,536,0.00536,870,0.0087,600000
-37.7551,-19.3878,502,0.00502,849,0.00849,600000
-37.7551,-17.3469,603,0.00603,936,0.00936,600000
-37.7551,-15.3061,494,0.00494,894,0.00894,600000
-37.7551,-13.2653,458,0.00458,788,0.00788,600000
-37.7551,-11.2245,468,0.00468,787,0.00787,600000
-37.7551,-9.18367,528,0.00528,900,0.009000000000000001,600000
-37.7551,-7.14286,491,0.00491,812,0.00812,600000
-37.7551,-5.10204,528,0.00528,846,0.00846,600000
-37.7551,-3.06122,580,0.0058,940,0.0094,600000
-37.7551,-1.02041,496,0.00496,880,0.0088,600000
-37.7551,1.02041,514,0.00514,885,0.00885,600000
-37.7551,3.06122,622,0.00622,892,0.008919999999999999,600000
-37.7551,5.10204,565,0.0056500000000000005,902,0.00902,600000
-37.7551,7.14286,520,0.0052,833,0.00833,600000
-37.7551,9.18367,488,0.00488,817,0.00817,600000
-37.7551,11.2245,533,0.00533,903,0.00903,600000
-37.7551,13.2653,637,0.00637,974,0.00974,600000
-37.7551,15.3061,474,0.00474,861,0.00861,600000
-37.7551,17.3469,511,0.00511,906,0.00906,600000
-37.7551,19.3878,578,0.00578,907,0.00907,600000
-37.7551,21.4286,543,0.00543,900,0.009,600000
-37.7551,23.4694,541,0.00541,849,0.00849,600000
-37.7551,25.5102,525,0.00525,845,0.00845,600000
-37.7551,27.551,522,0.00522,891,0.00891,600000
-37.7551,29.5918,482,0.00482,876,0.00876,600000
-37.7551,31.6327,580,0.0058,927,0.00927,600000
