x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-24.8,-37.8,400000,45329,0.113323,152426,0.381065
-24.8,-37.6,400000,45150,0.112875,152167,0.380418
-24.8,-37.4,400000,44868,0.11217,152368,0.38092
-24.8,-37.2,400000,44178,0.110445,151588,0.37897
-24.8,-37,400000,44849,0.112122,151862,0.379655
-24.8,-36.8,400000,45257,0.113142,152764,0.38191
-24.8,-36.6,400000,45058,0.112645,151709,0.379273
-24.8,-36.4,400000,44773,0.111933,151977,0.379943
-24.8,-36.2,400000,45356,0.11339,152456,0.38114
-24.8,-36,400000,44834,0.112085,152384,0.38096
-24.8,-35.8,400000,44847,0.112117,152671,0.381678
-24.8,-35.6,400000,44428,0.11107,151239,0.378097
-24.8,-35.4,400000,44776,0.11194,151445,0.378613
-24.8,-35.2,400000,44890,0.112225,152243,0.380607
-24.8,-35,400000,45089,0.112723,152470,0.381175
-24.8,-34.8,400000,44731,0.111827,151753,0.379383
-24.8,-34.6,400000,44194,0.110485,151814,0.379535
-24.8,-34.4,400000,44459,0.111147,151921,0.379802
-24.8,-34.2,400000,44962,0.112405,152107,0.380267
-24.8,-34,400000,44699,0.111747,151916,0.37979
-24.8,-33.8,400000,44724,0.11181,152288,0.38072
-24.8,-33.6,400000,44385,0.110963,151678,0.379195
-24.8,-33.4,400000,45132,0.11283,152042,0.380105
-24.8,-33.2,400000,44521,0.111302,151928,0.37982
-24.8,-33,400000,44933,0.112333,152299,0.380748
-24.8,-32.8,400000,44466,0.111165,152148,0.38037
-24.8,-32.6,400000,45489,0.113723,152533,0.381333
-24.8,-32.4,400000,44772,0.11193,152008,0.38002
-24.8,-32.2,400000,45277,0.113193,152442,0.381105
-24.8,-32,400000,45028,0.11257,152300,0.38075
-24.8,-31.8,400000,44724,0.11181,152611,0.381528
-24.8,-31.6,400000,44433,0.111083,151706,0.379265
-24.8,-31.4,400000,44483,0.111208,151999,0.379997
-24.8,-31.2,400000,45084,0.11271,152409,0.381022
