x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux,mean_roiCounts,mean_normalizedCounts,mean_flux,mean_normalizedFlux,roiCounts_rel_diff,normalizedCounts_rel_diff,flux_rel_diff,normalizedFlux_rel_diff
-50.0,-29.5918,4,100000,20,0.0002,66,0.00066,30.5,0.000305,68.83333333333333,0.0006883333333333333,-0.3442622950819672,-0.34426229508196715,-0.041162227602905506,-0.041162227602905575
-50.0,-29.5918,5,100000,35,0.00035,69,0.00069,30.5,0.000305,68.83333333333333,0.0006883333333333333,0.14754098360655737,0.1475409836065574,0.002421307506053338,0.0024213075060532225
-50.0,-27.551,0,100000,29,0.00029,72,0.00072,23.5,0.000235,67.66666666666667,0.0006766666666666667,0.23404255319148937,0.2340425531914894,0.064039408866995,0.06403940886699513
-50.0,-27.551,1,100000,23,0.00023,69,0.00069,23.5,0.000235,67.66666666666667,0.0006766666666666667,-0.02127659574468085,-0.02127659574468079,0.019704433497536873,0.01970443349753689
-50.0,-27.551,2,100000,33,0.00033,79,0.00079,23.5,0.000235,67.66666666666667,0.0006766666666666667,0.40425531914893614,0.4042553191489362,0.16748768472906395,0.16748768472906406
-50.0,-27.551,3,100000,16,0.00016,61,0.00061,23.5,0.000235,67.66666666666667,0.0006766666666666667,-0.3191489361702128,-0.31914893617021267,-0.09852216748768479,-0.09852216748768478
-50.0,-27.551,4,100000,21,0.00021,59,0.00059,23.5,0.000235,67.66666666666667,0.0006766666666666667,-0.10638297872340426,-0.10638297872340419,-0.1280788177339902,-0.1280788177339901
-50.0,-27.551,5,100000,19,0.00019,66,0.00066,23.5,0.000235,67.66666666666667,0.0006766666666666667,-0.19148936170212766,-0.1914893617021276,-0.02463054187192125,-0.024630541871921194
-50.0,-25.5102,0,100000,18,0.00018,66,0.00066,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,-0.18796992481203012,-0.18796992481203004,-0.0025188916876575022,-0.002518891687657383
-50.0,-25.5102,1,100000,26,0.00026,64,0.00064,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,0.1729323308270676,0.17293233082706755,-0.03274559193954667,-0.032745591939546466
-50.0,-25.5102,2,100000,20,0.0002,65,0.00065,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,-0.09774436090225569,-0.0977443609022556,-0.017632241813602085,-0.01763224181360201
-50.0,-25.5102,3,100000,32,0.00032,70,0.0007,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,0.4436090225563909,0.44360902255639106,0.05793450881612083,0.05793450881612095
-50.0,-25.5102,4,100000,16,0.00016,71,0.00071,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,-0.27819548872180455,-0.27819548872180444,0.07304785894206542,0.07304785894206557
-50.0,-25.5102,5,100000,21,0.00021,61,0.00061,22.166666666666668,0.00022166666666666667,66.16666666666667,0.0006616666666666666,-0.052631578947368474,-0.0526315789473684,-0.07808564231738042,-0.07808564231738034
-50.0,-23.4694,0,100000,32,0.00032,65,0.00065,30.5,0.000305,72.66666666666667,0.0007266666666666667,0.04918032786885246,0.04918032786885259,-0.10550458715596336,-0.10550458715596338
-50.0,-23.4694,1,100000,35,0.00035,75,0.00075,30.5,0.000305,72.66666666666667,0.0007266666666666667,0.14754098360655737,0.1475409836065574,0.0321100917431192,0.03211009174311925
-50.0,-23.4694,2,100000,18,0.00018,58,0.00058,30.5,0.000305,72.66666666666667,0.0007266666666666667,-0.4098360655737705,-0.40983606557377045,-0.20183486238532114,-0.2018348623853211
-50.0,-23.4694,3,100000,20,0.0002,64,0.00064,30.5,0.000305,72.66666666666667,0.0007266666666666667,-0.3442622950819672,-0.34426229508196715,-0.11926605504587162,-0.11926605504587152
-50.0,-23.4694,4,100000,42,0.00042,91,0.00091,30.5,0.000305,72.66666666666667,0.0007266666666666667,0.3770491803278688,0.377049180327869,0.2522935779816513,0.2522935779816513
-50.0,-23.4694,5,100000,36,0.00036,83,0.00083,30.5,0.000305,72.66666666666667,0.0007266666666666667,0.18032786885245902,0.18032786885245913,0.14220183486238525,0.1422018348623853
-50.0,-21.4286,0,100000,20,0.0002,64,0.00064,29.166666666666668,0.0002916666666666667,71.5,0.000715,-0.31428571428571433,-0.31428571428571433,-0.1048951048951049,-0.10489510489510487
-50.0,-21.4286,1,100000,38,0.00038,74,0.00074,29.166666666666668,0.0002916666666666667,71.5,0.000715,0.3028571428571428,0.3028571428571428,0.03496503496503497,0.034965034965034905
-50.0,-21.4286,2,100000,43,0.00043,78,0.00078,29.166666666666668,0.0002916666666666667,71.5,0.000715,0.4742857142857142,0.47428571428571414,0.09090909090909091,0.09090909090909084
-50.0,-21.4286,3,100000,16,0.00016,77,0.00077,29.166666666666668,0.0002916666666666667,71.5,0.000715,-0.45142857142857146,-0.45142857142857146,0.07692307692307693,0.07692307692307682
-50.0,-21.4286,4,100000,22,0.00022,62,0.00062,29.166666666666668,0.0002916666666666667,71.5,0.000715,-0.24571428571428575,-0.24571428571428575,-0.13286713286713286,-0.13286713286713292
-50.0,-21.4286,5,100000,36,0.00036,74,0.00074,29.166666666666668,0.0002916666666666667,71.5,0.000715,0.23428571428571424,0.23428571428571426,0.03496503496503497,0.034965034965034905
-50.0,-19.3878,0,100000,15,0.00015,71,0.00071,25.0,0.00025,66.66666666666667,0.0006666666666666666,-0.4,-0.4000000000000001,0.06499999999999992,0.06500000000000006
-50.0,-19.3878,1,100000,26,0.00026,59,0.00059,25.0,0.00025,66.66666666666667,0.0006666666666666666,0.04,0.03999999999999989,-0.11500000000000006,-0.11499999999999992
-50.0,-19.3878,2,100000,12,0.00012,66,0.00066,25.0,0.00025,66.66666666666667,0.0006666666666666666,-0.52,-0.52,-0.01000000000000007,-0.009999999999999972
-50.0,-19.3878,3,100000,37,0.00037,61,0.00061,25.0,0.00025,66.66666666666667,0.0006666666666666666,0.48,0.4799999999999999,-0.08500000000000006,-0.085
-50.0,-19.3878,4,100000,34,0.00034,83,0.00083,25.0,0.00025,66.66666666666667,0.0006666666666666666,0.36,0.36000000000000004,0.2449999999999999,0.24500000000000005
-50.0,-19.3878,5,100000,26,0.00026,60,0.0006,25.0,0.00025,66.66666666666667,0.0006666666666666666,0.04,0.03999999999999989,-0.10000000000000006,-0.10000000000000005
-50.0,-17.3469,0,100000,19,0.00019,65,0.00065,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,-0.06557377049180323,-0.06557377049180323,-0.0025575447570333207,-0.0025575447570333654
-50.0,-17.3469,1,100000,28,0.00028,72,0.00072,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,0.37704918032786894,0.3770491803278687,0.10485933503836309,0.10485933503836316
-50.0,-17.3469,2,100000,20,0.0002,67,0.00067,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,-0.01639344262295076,-0.016393442622950775,0.028132992327365654,0.02813299232736569
-50.0,-17.3469,3,100000,18,0.00018,68,0.00068,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,-0.11475409836065568,-0.11475409836065568,0.04347826086956514,0.043478260869565216
-50.0,-17.3469,4,100000,19,0.00019,62,0.00062,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,-0.06557377049180323,-0.06557377049180323,-0.04859335038363178,-0.04859335038363178
-50.0,-17.3469,5,100000,18,0.00018,57,0.00057,20.333333333333332,0.00020333333333333333,65.16666666666667,0.0006516666666666667,-0.11475409836065568,-0.11475409836065568,-0.12531969309462923,-0.12531969309462926
-50.0,-15.3061,0,100000,30,0.0003,63,0.00063,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,0.06508875739644966,0.06508875739644962,-0.07125307125307119,-0.07125307125307118
-50.0,-15.3061,1,100000,19,0.00019,50,0.0005,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,-0.3254437869822486,-0.32544378698224846,-0.26289926289926285,-0.26289926289926285
-50.0,-15.3061,2,100000,33,0.00033,67,0.00067,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,0.17159763313609463,0.1715976331360947,-0.012285012285012217,-0.012285012285012211
-50.0,-15.3061,3,100000,21,0.00021,67,0.00067,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,-0.25443786982248523,-0.2544378698224852,-0.012285012285012217,-0.012285012285012211
-50.0,-15.3061,4,100000,30,0.0003,77,0.00077,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,0.06508875739644966,0.06508875739644962,0.13513513513513523,0.13513513513513511
-50.0,-15.3061,5,100000,36,0.00036,83,0.00083,28.166666666666668,0.00028166666666666666,67.83333333333333,0.0006783333333333333,0.27810650887573957,0.27810650887573973,0.22358722358722366,0.22358722358722366
