x,y,roiCounts,normalizedCounts,flux,normalizedFlux,roiCounts_rel_diff_to_center,roiCounts_rel_diff_to_mean,normalizedFlux_rel_diff_to_center,normalizedFlux_rel_diff_to_mean
-45.9184,13.2653,138,0.0013800000000000002,413,0.00413,-0.03496503496503497,-0.20719180443145307,0.048223350253807126,-0.030886787866045547
-45.9184,15.3061,180,0.0018,426,0.00426,0.25874125874125875,0.03409764639375686,0.08121827411167512,-0.00038201363422617977
-45.9184,17.3469,155,0.00155,393,0.0039299999999999995,0.08391608391608392,-0.10952702671648715,-0.0025380710659899646,-0.07781720976115242
-45.9184,19.3878,220,0.0022,435,0.00435,0.5384615384615384,0.26389712337014726,0.10406091370558371,0.020736676218571812
-45.9184,21.4286,202,0.00202,433,0.00433,0.4125874125874126,0.16048735873077158,0.098984771573604,0.016043634029061126
-45.9184,23.4694,163,0.00163,438,0.00438,0.13986013986013987,-0.06356713132120906,0.11167512690355337,0.027776239502837946
-45.9184,25.5102,151,0.00151,404,0.00404,0.055944055944055944,-0.13250697441412618,0.025380710659898543,-0.05200547771884354
-45.9184,27.551,179,0.0017900000000000001,461,0.0046099999999999995,0.2517482517482518,0.0283526594693471,0.1700507614213197,0.08174622468221054
-45.9184,29.5918,185,0.00185,440,0.0044,0.2937062937062937,0.06282258101580566,0.11675126903553308,0.03246928169234863
-45.9184,31.6327,166,0.00166,408,0.00408,0.16083916083916083,-0.046332170547979785,0.03553299492385796,-0.04261939333982216
-45.9184,33.6735,131,0.00131,390,0.0039,-0.08391608391608392,-0.24740671290232139,-0.010152284263959418,-0.08485677304541836
-45.9184,35.7143,150,0.0015,403,0.004030000000000001,0.04895104895104895,-0.13825196133853596,0.0228426395939088,-0.054351998813598784
-45.9184,37.7551,140,0.0014,426,0.00426,-0.02097902097902098,-0.19570183058263355,0.08121827411167512,-0.00038201363422617977
-45.9184,39.7959,154,0.0015400000000000001,403,0.004030000000000001,0.07692307692307693,-0.11527201364089691,0.0228426395939088,-0.054351998813598784
-45.9184,41.8367,194,0.00194,419,0.00419,0.35664335664335667,0.1145274633354935,0.06345177664974624,-0.016807661297513484
-45.9184,43.8776,180,0.0018000000000000002,412,0.00412,0.25874125874125875,0.03409764639375686,0.04568527918781738,-0.03323330896080079
-45.9184,45.9184,161,0.0016099999999999999,398,0.00398,0.1258741258741259,-0.07505710517002859,0.010152284263959418,-0.0660846042873756
-45.9184,47.9592,161,0.0016099999999999999,386,0.00386,0.1258741258741259,-0.07505710517002859,-0.020304568527918725,-0.09424285742443962
-45.9184,50.0,157,0.00157,396,0.00396,0.0979020979020979,-0.09803705286766763,0.005076142131979709,-0.0707776464768863
-43.8776,-50.0,191,0.00191,446,0.00446,0.3356643356643357,0.09729250256226422,0.1319796954314722,0.0465484082608807
-43.8776,-47.9592,176,0.00176,438,0.00438,0.23076923076923078,0.01111769869611782,0.11167512690355337,0.027776239502837946
-43.8776,-45.9184,152,0.00152,411,0.00411,0.06293706293706294,-0.12676198748971643,0.043147208121827416,-0.03557983005555623
-43.8776,-43.8776,156,0.0015600000000000002,447,0.00447,0.09090909090909091,-0.10378203979207738,0.13451776649746194,0.04889492935563594
-43.8776,-41.8367,146,0.00146,411,0.00411,0.02097902097902098,-0.161231909036175,0.043147208121827416,-0.03557983005555623
-43.8776,-39.7959,186,0.00186,427,0.00427,0.3006993006993007,0.06856756794021543,0.08375634517766509,0.0019645074605292656
-43.8776,-37.7551,191,0.00191,417,0.00417,0.3356643356643357,0.09729250256226422,0.05837563451776654,-0.021500703487024174
-43.8776,-35.7143,161,0.00161,401,0.00401,0.1258741258741259,-0.07505710517002859,0.01776649746192887,-0.05904504100310967
-43.8776,-33.6735,176,0.00176,407,0.00407,0.23076923076923078,0.01111769869611782,0.032994923857867994,-0.04496591443457761
-43.8776,-31.6327,147,0.00147,407,0.00407,0.027972027972027972,-0.15548692211176524,0.032994923857867994,-0.04496591443457761
-43.8776,-29.5918,122,0.00122,420,0.0042,-0.14685314685314685,-0.29911159522200925,0.06598984771573599,-0.014461140202758243
-43.8776,-27.551,170,0.0017000000000000001,442,0.00442,0.1888111888111888,-0.02335222285034074,0.12182741116751279,0.03716232388185932
-43.8776,-25.5102,197,0.00197,427,0.00427,0.3776223776223776,0.1317624241087228,0.08375634517766509,0.0019645074605292656
-43.8776,-23.4694,161,0.0016099999999999999,363,0.00363,0.1258741258741259,-0.07505710517002859,-0.07868020304568527,-0.14821284260381243
-43.8776,-21.4286,197,0.00197,436,0.00436,0.3776223776223776,0.1317624241087228,0.10659898477157366,0.02308319731332726
-43.8776,-19.3878,185,0.00185,460,0.0046,0.2937062937062937,0.06282258101580566,0.16751269035532995,0.07939970358745531
-43.8776,-17.3469,177,0.00177,424,0.00424,0.23776223776223776,0.01686268562052758,0.07614213197969541,-0.005075055823736867
